location,b1,b2,b3,location_type
loc1,1.140198693,0.520341381,-0.07994615,flat
loc10,1.141082396,0.454344646,-0.040078352,sloping
loc2,1.479930538,0.164138139,0.01112004,sloping
loc3,1.686318272,0.522586402,-0.326687005,flat
loc4,1.710601949,0.380386326,0.049716041,flat
loc5,1.179701436,0.329806843,-0.15505847,sloping
loc6,1.857170414,0.072551726,0.066718751,sloping
loc7,1.809553864,0.295335463,0.17773048,flat
loc8,1.093122417,0.486095887,-0.052148168,sloping
loc9,1.047509673,0.58160128,-0.006729437,flat
